id	sentiment	question
65	20	നിങ്ങളുടെ പാക്കേജിൽ ഫീച്ചർ ചെയ്ത ഹോട്ടലുകളും റിസോർട്ടുകളും ഹൗസ് ബോട്ടുകളും പാശ്ചാത്യ ടോയ്ലറ്റുകളിൽ ഉണ്ടോ
66	21	പാക്കേജുകളിൽ ഫീച്ചർ ചെയ്തിട്ടുള്ള എല്ലാ ഹോട്ടലുകളിലും റിസോർട്ടുകളിലും ഹൗസ് ബോട്ടുകളിലും എയർ കണ്ടീഷനിംഗ് ലഭ്യമാണോ
67	22	ഹൗസ് ബോട്ടുകൾ മൺസൂണിൽ പ്രവർത്തിക്കുന്നുണ്ടോ
68	23	ഹോട്ടലുകൾ അല്ലെങ്കിൽ  റിസോർട്ടിൽ സസ്യാഹാരം ലഭ്യമാണോ
69	24	കേരളത്തിലെ കുടിവെള്ള സുരക്ഷിതം എത്രയാണ്
70	25	ഒരു നിർദ്ദിഷ്ട ഡ്രൈവർ കാർ എനിക്ക് ലഭിക്കുമോ, അതോ ഒരു പങ്കാളി കാർ വാങ്ങാമോ
71	26	നിങ്ങൾ ഗ്രൂപ്പ് ടൂറുകൾ പ്രവർത്തിക്കുന്നുണ്ടോ
72	27	നിങ്ങളെ ബന്ധപ്പെടുന്നതിനുള്ള ഏറ്റവും മികച്ച ആശയവിനിമയം ഏതാണ്
8	0	വിനോദസഞ്ചാര കേന്ദ്രങ്ങളുടെ പട്ടിക തരുമോ
9	0	വിനോദസഞ്ചാര കേന്ദ്രങ്ങളുടെ പട്ടിക
10	2	താമസിക്കാൻ ഒരു നല്ല സ്ഥലം കണ്ടെത്തുക
11	2	താമസിക്കാൻ ചില സ്ഥലം നിർദ്ദേശിക്കാനാകുമോ
12	2	താമസിക്കാൻ ചില നല്ല സ്ഥലങ്ങൾ കണ്ടെത്തുക
13	0	ഇവിടുത്തെ വിനോദ സഞ്ചാര കേന്ദ്രങ്ങളുടെ പട്ടിക
14	1	ബോട്ടിങ്ങിനു പറ്റിയ സ്ഥലങ്ങൾ
15	1	എവിടെ ബോട്ടിംഗ് ചെയ്യാൻ  പറ്റും
73	28	സപ്തംബർ ആദ്യ ആഴ്ചയിൽ ആലപ്പുഴയിൽ എത്തും. നിങ്ങൾ രാത്രിയിൽ ഒരു ഹൗസ്ബോട്ട് താമസം ആലോചിക്കുമോ അല്ലെങ്കിൽ ഒരു ദിവസം യാത്ര ചെയ്യുമ്പോഴോ മറ്റെവിടെയെങ്കിലും താമസിക്കുന്നത് നല്ലതാണോ?
74	29	ഇന്ത്യയിലെ മികച്ച ബജറ്റ് എയർലൈൻസുകൾ  ഏതൊക്കെയാണ്?
75	30	ഞാൻ സംസാരിച്ചിട്ടുള്ള ട്രാവൽ ഏജന്റുമാർക്ക് ഇൻഡ്യയെക്കുറിച്ച് വളരെ അധികം വിവരങ്ങൾ ഇല്ലെന്നും അവർ എന്റെ യാത്രയെക്കുറിച്ച് പറയാനാവില്ലെന്നുമാണ് പറഞ്ഞത്. എനിക്കായി എല്ലാം പറയാനുള്ള ഒരു ട്രാവൽ ഏജന്റ് എനിക്ക് ഇന്ത്യയിൽ ലഭിക്കുമോ?
76	31	ആറുമാസത്തെ യാത്രയ്ക്ക് ഞാൻ എന്താണ് പായ്ക്ക് ചെയ്യേണ്ടത്? ഞാൻ ബീച്ചിലും പർവതപ്രദേശങ്ങളിലും ആകും, അതെങ്ങനെ സാധിക്കുമെന്ന് എനിക്കറിയില്ല.
77	32	ട്രെയിനും ബസ് യാത്രയും എനിക്ക് വേവലാതിപ്പെടുന്നു. അത് സുരക്ഷിതമായിരിക്കില്ല ഞാൻ ഭയപ്പെടുന്നു. അതൊക്കെ  ഒരുപാട് തകരാറിലല്ലേ?
78	33	എ.ടി.എമ്മുകൾ ഇന്ത്യയിൽ ഉണ്ടോ, അവർ വിദേശ കാർഡുകൾ സ്വീകരിക്കുമോ? ഞാൻ എത്ര തവണ പിൻവലിക്കണം?
79	34	ഞാൻ എപ്പോഴാണ് പോകേണ്ടത്? മലകൾ, മരുഭൂമികൾ, ബീച്ച് എന്നിങ്ങനെ വ്യത്യസ്ത പ്രദേശങ്ങളെയെങ്കിലും കാണണമെന്നുണ്ടെങ്കിലും 2-4 മാസങ്ങൾ മാത്രമെ എനിക്ക് വേണ്ടതുള്ളൂ.
80	35	ഞാൻ ഒറ്റയ്ക്കായിരിക്കും പോകുന്നത്. ഞാൻ സുഹൃത്തുക്കളെ എളുപ്പത്തിൽ ആക്കുമോ? 
81	36	ഇൻറർനെറ്റ് കണക്ഷൻ എങ്ങനെയായിരിക്കും  , ഫോൺ ലഭിക്കുമോ അതോ സ്കൈപ്പ് ലഭിക്കാൻ ഇന്റർനെറ്റ് കഫേ ഉണ്ടാകുമോ ?
82	37	സന്ദർശിക്കാൻ പറ്റിയ  സ്വപ്ന സ്ഥലങ്ങൾ എന്തൊക്കെയാണ്?
83	38	ആമകൾക്ക് അന്നനിവേദ്യം നടത്തുന്ന അപൂർവ്വ ക്ഷേത്രം
84	39	ഡൽഹിയിൽ സുഹൃത്തുക്കളുമൊത്ത് അൽപസമയം ചെലവഴിക്കാൻ പറ്റിയ ഏറ്റവും നല്ല സ്ഥലങ്ങൾ
85	40	അത്ഭുതങ്ങൾ ഒളിപ്പിച്ചിരിക്കുന്ന ഭൂമിക്കടിയിലെ കൊട്ടാരം
86	41	ചരിത്ര സ്നേഹികളും സഞ്ചാരികളും ഒരിക്കലെങ്കിലും കണ്ടിരിക്കേണ്ട ഹസ്സാനിലെ സുന്ദരമായ ക്ഷേത്രങ്ങൾ
87	42	കേരളത്തിൽ കാണാൻ പറ്റിയ ബീച്ചുകൾ 
88	43	കേരളത്തിലെ കായലുകൾ 
89	44	കേരളത്തിലെ  മലയോരകേന്ദ്രങ്ങൾ
90	45	കേരളത്തിലെ  തീർഥാടനകേന്ദ്രങ്ങൾ
91	46	കേരളത്തിലെ   വന്യജീവിസം‌രക്ഷണ കേന്ദ്രങ്ങൾ
92	42	കേരളത്തിൽ കാണാൻ പറ്റിയ  കടൽത്തീരങ്ങൾ
93	47	കേരളത്തിലെ ചരിത്ര സ്ഥലങ്ങൾ
94	48	കേരളത്തിൽ വരുന്നവർ കണ്ടിരിക്കേണ്ട സ്ഥലങ്ങൾ 
95	49	കേരളത്തിലെ ഭക്ഷണ വിഭവങ്ങൾ
96	50	ഇവിടെ അടുത്തുള്ള ഹോസ്പിറ്റലുകൾ
97	50	ഇവിടെ അടുത്തുള്ള ആശുപത്രികൽ 
98	51	പ്രകൃതി രമണീയത ആസ്വദിക്കാൻ പറ്റുന്ന സ്ഥലങ്ങൾ   
99	52	വയനാട്    ജില്ലയുടെ     പ്രത്യേകതകൾ  
100	53	കോഴിക്കോട്   ജില്ലയുടെ     പ്രത്യേകതകൾ  
101	54	തിരുവനന്തപുരം  ജില്ലയുടെ     പ്രത്യേകതകൾ  
102	55	തൃശൂർ  ജില്ലയുടെ     പ്രത്യേകതകൾ  
103	56	കൊല്ലം ജില്ലയുടെ     പ്രത്യേകതകൾ  
104	57	കോട്ടയം    ജില്ലയുടെ     പ്രത്യേകതകൾ  
105	58	കണ്ണൂർ     ജില്ലയുടെ     പ്രത്യേകതകൾ  
106	10	കേരളത്തിൽ ഏതു വസ്ത്രം ആണ് നല്ലതു
107	11	കേരളത്തിൽ എങ്ങനെയൊക്കെ  എത്താം
108	12	കേരളത്തിലെ എയർപോർട്ടുകളുടെ  എണ്ണം 
109	16	എയർപോർട്ട് അല്ലെങ്കിൽ റെയിൽവേ സ്റ്റേഷനിൽ നിന്നുള്ള സേവനങ്ങൾ ലഭ്യമാക്കാമോ 
110	24	കേരളത്തിലെ കുടിവെള്ളം   സുരക്ഷിതമാണോ 
111	29	മികച്ച ബജറ്റ് എയർലൈൻസുകൾ  ഏതൊക്കെയാണ്?
112	32	ട്രെയിനും ബസുമൊക്കെ  സുരക്ഷിതമാണോ 
113	33	എ.ടി.എമ്മുകൾ  ലഭ്യമാണോ 
114	37	സ്വപ്ന സ്ഥലങ്ങൾ
115	39	സുഹൃത്തുക്കളുമൊത്ത് അൽപസമയം ചെലവഴിക്കാൻ പറ്റിയ ഏറ്റവും നല്ല സ്ഥലങ്ങൾ
116	40	ഭൂമിക്കടിയിലെ കൊട്ടാരം
117	50	അടുത്തുള്ള ഹോസ്പിറ്റലുകൾ
